910;2;85
120;3;90
950;4;0
320;1;35
970;3;25
780;0;70
560;2;40
470;1;55
110;4;30
240;3;65
70;4;50
660;1;50
310;2;30
330;4;80
640;2;0
260;3;5
280;3;95
50;0;50
180;3;80
400;4;35
230;1;50
720;0;20
370;4;45
680;4;5
260;3;0
600;2;30
170;0;75
100;4;10
10;4;55
850;1;5
950;2;45
400;0;10
420;1;30
840;1;0
350;4;45
750;0;75
340;4;65
990;2;85
100;3;70
540;2;40
570;1;20
960;4;40
580;4;70
900;2;85
800;0;20
840;0;35
800;1;75
340;0;15
700;2;95
770;2;65
0;3;35
540;4;45
40;0;0
590;1;40
870;0;50
440;3;90
260;1;50
630;0;0
620;4;50
380;2;85
90;0;90
610;0;45
880;3;60
310;2;50
270;2;20
590;2;60
760;2;65
980;1;45
160;0;60
140;4;25
770;0;80
710;0;30
510;1;0
220;3;90
610;0;15
410;4;0
110;3;70
470;3;5
120;1;5
820;0;55
410;4;35
20;4;65
110;2;10
450;0;35
190;3;5
860;3;10
670;2;20
420;2;45
880;4;5
940;2;10
280;1;10
940;3;55
630;4;70
670;4;20
750;1;75
700;4;0
380;2;25
630;0;70
290;3;25
40;3;20
970;3;5
920;4;15
130;3;0
750;2;0
190;3;95
830;4;30
290;1;60
730;1;10
680;0;95
460;1;15
690;1;60
440;3;60
470;0;75
780;4;80
550;1;40
970;4;30
510;1;15
400;1;95
360;2;95
520;4;80
920;1;90
100;0;60
990;1;20
720;0;0
500;2;20
530;1;5
970;3;20
840;0;25
530;2;30
290;3;50
430;0;15
720;0;90
290;1;10
150;1;10
450;0;60
630;1;90
850;3;95
70;4;55
380;2;85
530;0;95
580;3;80
120;4;65
100;1;80
580;1;5
540;1;20
620;2;65
710;2;80
550;4;75
770;3;10
70;4;35
440;3;40
780;0;0
780;3;30
940;3;20
900;2;75
380;0;70
660;1;95
670;0;95
190;0;45
910;3;35
910;0;80
130;0;95
930;4;65
30;4;80
650;2;35
630;1;10
990;0;75
660;4;95
790;3;75
130;1;10
160;1;60
350;3;55
890;4;15
70;3;55
420;1;35
350;1;45
120;3;60
650;1;30
320;1;45
940;2;0
840;4;60
870;2;45
860;0;10
20;1;55
60;3;70
920;1;0
680;1;20
930;2;95
670;3;50
630;0;0
710;1;55
400;2;85
960;2;75
220;2;10
650;3;50
220;2;75
970;3;80
630;0;90
590;4;65
280;4;5
80;3;85
640;1;90
610;1;35
520;0;5
370;1;50
460;3;20
730;2;10
290;1;50
500;2;75
510;0;40
670;3;90
890;0;95
150;2;95
470;2;50
180;3;45
880;0;80
910;1;30
690;4;45
420;4;30
400;0;15
960;2;70
480;2;55
600;3;40
520;0;0
150;1;75
850;4;45
220;3;90
330;2;15
900;2;90
290;3;55
920;4;5
730;2;50
330;1;70
90;2;10
530;4;35
220;0;85
110;1;25
820;4;80
60;4;20
150;4;0
260;3;75
650;2;60
550;2;30
40;1;40
580;4;60
640;3;40
820;1;45
600;1;55
670;0;80
330;4;50
540;2;45
230;4;55
180;3;70
100;3;0
440;4;50
650;4;25
90;4;15
420;3;75
540;4;35
700;3;70
360;0;55
900;2;50
460;0;30
930;3;35
520;4;35
180;3;45
520;3;25
880;3;15
740;3;50
480;0;80
210;0;45
