61;100;199
38;450;27
97;400;104
76;300;181
7;0;4
60;50;99
82;250;14
25;150;147
42;250;228
54;250;75
4;400;156
6;400;131
58;400;11
88;400;200
53;400;242
64;250;19
46;0;106
31;200;44
3;50;3
59;150;245
97;400;227
30;50;176
24;200;159
21;300;278
6;150;294
64;150;202
79;450;60
99;50;181
10;350;217
5;350;211
9;100;254
93;100;47
11;250;166
79;400;11
81;350;201
64;300;170
6;350;234
27;400;160
29;100;266
9;100;221
86;0;164
47;450;265
15;100;195
18;100;115
75;250;256
32;400;78
7;350;198
10;250;289
77;450;290
97;0;134
99;0;112
96;250;159
56;300;54
4;400;143
15;450;37
43;0;92
90;200;103
48;0;69
6;200;151
80;50;216
81;0;154
48;50;255
43;150;240
77;400;236
79;150;227
92;250;81
79;250;294
60;0;79
50;0;100
9;350;277
61;150;68
10;450;34
51;100;187
44;450;243
98;450;120
85;150;252
20;100;175
28;300;83
37;100;60
6;200;31
32;350;47
32;450;57
14;450;202
12;450;274
29;450;244
62;200;187
24;400;259
89;250;8
37;200;239
69;100;284
16;100;149
56;300;20
20;450;133
31;50;176
83;150;10
61;150;135
92;300;158
12;50;107
90;400;7
11;250;259
86;200;160
97;450;234
21;250;163
95;150;130
36;350;64
58;250;168
36;200;102
70;50;215
29;150;30
11;100;261
47;250;94
74;150;93
16;400;153
63;400;160
83;350;198
49;0;86
82;450;32
99;300;241
11;200;131
1;200;69
20;0;235
35;400;90
56;0;37
14;400;217
39;250;193
49;50;0
16;300;145
6;0;5
35;350;85
14;200;174
75;150;198
68;100;58
67;250;185
69;100;119
41;150;181
2;350;150
83;200;127
3;0;183
93;100;254
13;0;161
33;150;259
42;350;297
23;300;19
65;200;90
65;400;277
38;100;278
35;100;259
84;450;154
14;0;203
69;100;118
93;200;283
2;50;257
61;450;27
68;250;87
24;400;116
70;200;23
36;100;16
45;250;258
88;200;122
6;0;23
25;250;252
3;100;244
16;100;109
64;200;103
88;0;232
95;400;264
58;250;203
13;200;7
97;400;287
38;450;208
61;450;82
33;200;103
51;350;150
99;150;235
59;450;252
67;200;296
29;400;272
4;400;3
77;250;238
7;250;65
25;0;129
60;0;35
8;300;250
69;50;162
49;250;77
51;450;44
33;450;128
47;150;16
21;100;64
96;450;263
72;300;295
31;100;238
59;100;112
30;450;178
14;100;289
46;450;162
90;350;227
56;450;74
2;50;275
94;150;67
78;350;61
18;100;140
65;350;129
21;450;114
71;450;68
51;250;188
56;400;144
45;0;175
57;350;128
82;100;273
10;300;17
5;450;229
21;300;297
25;350;206
40;450;108
5;300;105
33;450;5
14;450;298
63;150;161
64;350;298
35;50;33
84;50;148
33;300;70
1;150;254
55;400;198
66;250;197
27;350;294
23;350;55
98;350;142
22;150;233
94;100;86
30;150;196
73;200;61
70;50;56
64;450;22
88;250;224
2;50;253
66;0;268
79;300;290
77;250;23
91;150;85
91;350;191
67;150;106
59;100;97
41;300;58
21;100;209
35;300;24
61;0;106
32;400;66
80;400;210
17;450;97
52;150;213
20;200;182
39;300;180
27;250;215
5;300;252
