675;6900
60;6600
100;8800
25;3700
410;0
770;9900
560;8300
175;4400
370;800
700;4600
580;4100
670;2300
460;4900
420;2300
130;5800
670;2900
40;2700
330;5900
25;6000
285;4500
365;6300
645;300
200;8300
655;1000
225;5900
685;2300
30;1700
110;9800
85;8000
365;5000
740;3600
85;3000
650;5800
140;7100
90;4700
115;8600
375;400
340;1100
770;5000
50;3400
110;9800
430;0
300;500
290;3700
430;4400
685;3600
330;5100
745;7300
155;9300
630;9200
365;2300
110;4100
680;9100
615;700
320;5000
140;1100
635;3800
530;6100
495;2500
385;9700
180;6500
80;3600
485;4700
255;2800
670;2200
370;7600
680;8400
45;3400
230;9700
560;1900
560;9600
590;6200
125;5500
495;3000
185;8800
135;4800
760;9900
700;2700
165;2100
315;8400
175;6300
750;4100
155;200
65;6800
225;600
220;3200
225;4800
10;6500
155;8700
145;6900
20;8500
375;2200
650;6300
540;5300
530;800
610;9200
700;5900
765;8800
400;8100
600;8300
530;8100
315;8800
435;3300
345;7400
510;6900
650;8800
490;2400
760;9100
675;7500
505;0
570;7200
690;4500
750;1900
630;500
595;5600
335;8600
290;4200
735;7100
135;9000
705;3400
485;8700
280;7000
440;4300
730;6600
560;4600
610;6500
740;5900
605;400
740;6500
315;7300
140;4500
215;6400
500;7500
465;5900
250;1300
770;4700
205;2500
185;600
135;2600
790;8100
265;1100
575;1900
235;6000
465;1400
490;6900
140;3400
440;8000
265;1600
470;3500
725;1700
790;8200
320;7400
20;6400
650;2500
465;8200
130;7400
175;1400
695;3400
335;3900
750;8800
645;5900
725;1800
80;8400
340;1400
685;8300
90;9900
410;8800
90;8100
420;9600
255;1600
285;7400
120;3900
90;2100
515;5900
145;3000
70;0
255;4300
470;3100
360;7800
65;4500
325;8100
15;3400
235;5400
760;3000
725;7900
290;1600
170;7600
610;700
110;5700
750;2600
175;5200
90;3600
455;6400
740;6800
735;6700
495;4700
795;5100
155;800
510;7600
230;7700
660;1700
75;8900
470;7000
275;3400
775;5800
525;9000
755;2900
195;8800
520;700
355;1100
785;2200
640;3600
265;6100
15;1400
175;8300
570;9700
285;4200
220;9200
340;8300
740;8300
240;6600
770;7100
580;5700
460;2200
70;1500
490;7000
165;6500
490;2300
340;2800
230;3300
520;7400
85;8200
235;6300
265;9100
415;700
485;6700
490;8200
690;4500
0;800
640;2800
710;8000
425;1300
70;8600
215;3100
100;1800
110;1800
575;9500
510;3900
660;5100
395;9200
300;4000
215;7300
235;8400
475;1100
150;4600
480;1700
625;100
440;4300
110;2000
685;5400
205;7100
625;4700
530;3400
210;9000
720;8400
580;3000
165;2700
165;8100
60;6700
565;9500
215;9100
475;2600
60;6200
470;4300
685;1700
505;400
280;300
610;6300
300;7300
110;9700
735;7600
165;9000
660;700
495;4100
200;400
770;5300
285;0
270;4000
380;3900
420;9400
135;3200
250;1900
755;8900
695;6800
770;4100
425;5500
55;4500
580;400
580;1300
55;5000
285;8300
740;2800
240;8100
745;6600
200;7200
205;5600
265;5600
335;8200
740;9400
320;4800
25;2000
490;9300
765;3400
285;1300
295;2100
500;7400
780;6200
780;2800
260;6100
180;1200
95;5100
340;2400
495;700
20;1700
120;3000
135;7400
755;2400
100;9500
395;5000
80;9200
530;8400
570;8100
135;5300
220;2400
640;3700
105;8400
290;6900
670;4100
145;200
160;1200
85;500
695;3900
730;5700
210;2300
790;3300
690;3300
530;500
715;6000
505;8500
630;7400
465;9500
305;2300
465;2000
480;7500
745;1000
265;8400
655;2000
510;6400
350;8000
440;7100
265;0
270;4000
585;3500
540;1500
65;1500
55;3600
585;4000
240;6000
90;3300
690;200
470;3800
230;3700
560;7100
660;9000
660;5000
10;4900
75;700
75;6400
125;6300
380;3400
315;2700
420;8700
60;3300
450;6600
215;8000
505;1100
15;7600
285;4300
340;7100
310;3300
385;4000
405;4800
425;6400
95;2400
255;6600
640;5000
525;2900
625;8200
265;6900
590;5500
450;8900
25;1000
15;600
405;3500
205;6700
90;9200
80;1600
360;2400
465;1700
425;5200
790;5400
25;6500
265;100
225;6800
320;5400
30;4400
15;1700
455;8200
755;9900
290;1000
50;9200
765;3400
365;2000
230;600
215;4700
365;9000
785;4000
695;4900
655;100
515;4600
450;3400
25;3400
400;1800
35;7700
105;9700
190;900
220;2900
275;800
630;6600
730;3900
340;8900
305;1500
395;3200
285;300
630;4200
680;5800
130;8200
425;3700
240;3200
210;4700
125;5900
330;3300
315;300
375;8200
535;3200
220;8000
570;6800
130;2400
35;9000
115;8300
55;4300
725;3700
490;5500
275;9900
230;9700
430;3300
160;7100
390;9200
360;9800
45;1300
455;2400
270;5000
125;4200
550;5000
570;5600
570;6300
465;4400
780;6500
790;6700
360;2900
560;8400
455;7000
45;1100
645;8900
70;3000
615;4900
90;5200
340;3500
670;5200
285;8400
295;3400
220;3000
305;7500
255;1600
165;9900
275;1400
110;4300
100;8500
100;100
70;0
375;2900
95;3300
